"","listing_id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","list.demand"
"68","10126716","4 bedroom Edwardian flat in NOPA!","9177164","Beth",,"Haight Ashbury",37.775075933621,-122.443975823162,"Entire home/apt",500,2,21,"2017-01-01",1.62,4,20,345
"69","10126869","Charming room North Beach Apartment","51970757","Bucky",,"Russian Hill",37.7972294143274,-122.412764652446,"Private room",85,1,0,"",0,2,0,365
"70","10127022","Cozy room in Haight Victorian","975780","Adam",,"Haight Ashbury",37.7703835681089,-122.446572685864,"Private room",77,4,1,"2015-12-23",0.07,3,0,365
"71","10127110","Small room with Airbed in Haight SF","975780","Adam",,"Haight Ashbury",37.7701426097053,-122.446236562395,"Private room",58,4,0,"",0,3,0,365
"72","1013482","Entire big & beautiful one bedroom","3659450","Dany",,"Marina",37.8075613249195,-122.428797022834,"Entire home/apt",179,1,48,"2017-02-16",1,1,364,1
"73","10136162","Modern Mission Apt in the BEST Area","471439","Marissa",,"Mission",37.7605287058786,-122.409043650878,"Entire home/apt",225,3,0,"",0,1,0,365
"74","10137551","Spacious 2BR in Pacific Heights","38672558","Christina",,"Pacific Heights",37.7904783377091,-122.424396926168,"Entire home/apt",290,3,7,"2016-12-27",0.57,1,2,363
"75","10137578","Charming bedroom in Bernal Heights","52025286","Christian",,"Bernal Heights",37.7361498500229,-122.412450339806,"Private room",90,1,74,"2017-02-17",5.81,1,362,3
"76","10137814","Big+Bright+Modern Russian Hill 3BR","52022959","Jon",,"Russian Hill",37.8001506010241,-122.421003597941,"Entire home/apt",199,2,32,"2017-01-27",2.32,1,343,22
"77","10137815","The Donatello Hotel-Super Bowl Week","52026603","Hilary",,"Downtown/Civic Center",37.7876460704135,-122.410622980261,"Entire home/apt",350,2,0,"",0,1,0,365
"78","10139027","Beautiful SF apartment with a view!","18757921","Darya",,"Twin Peaks",37.7563299261517,-122.444481827962,"Entire home/apt",105,3,2,"2016-06-25",0.15,1,0,365
"79","10139068","Charming Nob Hill Apartment","52032557","Jenny",,"Nob Hill",37.7927856772249,-122.416618636583,"Entire home/apt",200,30,21,"2016-11-20",1.65,1,71,294
"80","10139575","Brand New Studio w/ 2 Private Beds","19350218","Marissa",,"South of Market",37.7873225829376,-122.392600054046,"Private room",270,1,0,"",0,1,0,365
"81","10143639","Are you looking for an apartment?","45106907","Beatrice",,"South of Market",37.7818621790828,-122.408551124114,"Private room",60,1,0,"",0,1,0,365
"82","10149591","Inn at the Opera 1BR Suite","47514427","Jeff",,"Downtown/Civic Center",37.7798165605889,-122.421321584489,"Private room",200,1,5,"2016-09-15",0.55,8,127,238
"83","1015336","Beautiful Home close to the water","3998807","Jacinta",,"Marina",37.8050708446138,-122.443582595859,"Entire home/apt",850,1,4,"2015-12-27",0.21,2,203,162
"84","10153977","Spacious room near Valencia St","10836848","Arif",,"Mission",37.7485114355793,-122.417233063734,"Private room",65,2,1,"2016-02-15",0.08,1,0,365
"85","1015558","Amazing View 1 Bedroom Flat in Marina/Cow Hollow","5587856","Stacy",,"Marina",37.7999886907732,-122.425007288863,"Entire home/apt",205,1,1,"2016-08-17",0.15,1,86,279
"86","10156101","Inn at the Opera 2 bathroom suite for four (1)","47514427","Jeff",,"Downtown/Civic Center",37.7788613242611,-122.422092595958,"Entire home/apt",215,1,10,"2017-01-31",0.8,8,28,337
"87","10156462","2 Bedroom Apartment","52128943","Scott",,"Inner Richmond",37.7840085629245,-122.462207115427,"Entire home/apt",150,1,0,"",0,1,0,365
"88","10157431","Spacious Studio","18587332","Alley",,"Downtown/Civic Center",37.7816446707618,-122.412781702832,"Entire home/apt",145,1,38,"2017-02-19",2.67,1,41,324
"89","1016604","Entire 3br Beautiful Edwardian Home","58930","David",,"Inner Richmond",37.7802708485211,-122.461079088272,"Entire home/apt",300,3,7,"2015-08-16",0.21,3,62,303
"90","1018426","Spacious Loft near Moscone/Downtown","1165164","Mary",,"South of Market",37.7759657190996,-122.405037633694,"Entire home/apt",311,30,103,"2016-08-13",2.15,1,364,1
"91","1018765","Spacious designer's apt w/ private deck | central","706593","Katie",,"Castro/Upper Market",37.767620475552,-122.433906056231,"Entire home/apt",197,3,10,"2017-02-17",0.21,1,329,36
"92","10187948","2bd/2ba Noe Valley - Monthly Rental","1885003","Hannah",,"Noe Valley",37.7517525744323,-122.431039440016,"Entire home/apt",155,14,1,"2016-11-01",0.25,1,255,110
"93","1019135","Spacious SF Apartment Near GG Park","5610543","Rob",,"Inner Sunset",37.7636174502722,-122.464919882938,"Entire home/apt",325,2,12,"2016-10-09",0.26,1,0,365
"94","10193457","Spacious Seaside Sojourn","19994286","Minh Thu",,"Outer Sunset",37.7466621934942,-122.500715150838,"Entire home/apt",140,3,43,"2017-02-20",3.12,1,290,75
"95","10199931","Spectacular 1900s Victorian home","4943346","Ignacio",,"Pacific Heights",37.7890015708156,-122.439391074873,"Entire home/apt",750,7,1,"2016-06-30",0.12,1,237,128
"96","10205031","Apartment in the heart of the Inner","38189486","Charline",,"Inner Sunset",37.7614739449413,-122.465543772561,"Private room",100,24,0,"",0,1,0,365
"97","10206402","Superbowl Apartment with Parking","8944673","Pat",,"Mission",37.7581416603216,-122.418265032289,"Entire home/apt",1500,1,0,"",0,1,0,365
"98","10207235","Heart of the mission - 2 BR Apt.","52442894","Lisa",,"Mission",37.7584405854346,-122.406748228407,"Entire home/apt",250,2,62,"2017-02-24",5.22,1,327,38
"99","10207254","Guestroom in 1911 Victorian","32202288","Maria",,"Excelsior",37.7229173998649,-122.435250612815,"Private room",80,1,19,"2016-07-14",1.34,1,47,318
"100","102213","North Beach Hideaway / Quiet 1 BR","534566","Chris",,"Russian Hill",37.8015240795649,-122.414307932442,"Entire home/apt",165,30,107,"2016-10-24",1.51,1,336,29
"101","1022316","Lower Haight Charm","5554147","T G",,"Western Addition",37.7720026861743,-122.43531804531,"Private room",125,1,83,"2015-10-16",1.77,1,154,211
"102","1022360","Urban Sanctuary: Private Room+Bath","5628582","Emily",,"Potrero Hill",37.7562800745487,-122.400628964786,"Private room",139,2,17,"2016-06-25",0.36,2,48,317
"103","10226935","Big room in social house w/ hot tub","13668599","Laura",,"Marina",37.7992169531859,-122.430958074472,"Private room",175,3,4,"2017-02-16",0.28,1,254,111
"104","10227655","Large classic Edwardian full-floor Richmond flat","52558265","Tim",,"Inner Richmond",37.7855097527694,-122.474746374718,"Entire home/apt",225,3,29,"2017-02-13",2.06,2,144,221
"105","10229367","Single bedroom in San Francisco","52567458","Clint",,"Haight Ashbury",37.7669507842885,-122.451131108305,"Private room",175,4,0,"",0,1,0,365
"106","10230060","Beautiful Artist's One Bedroom","36422768","Zue",,"Bernal Heights",37.7489848112353,-122.404212076454,"Entire home/apt",89,1,0,"",0,1,0,365
"107","10232789","Mission Light!","14105550","Reena",,"Mission",37.7624914879141,-122.420251823292,"Private room",97,2,4,"2017-02-16",0.52,1,357,8
"108","10235526","Dillonwood SOMA","20992627","Lawrence",,"South of Market",37.7843398105046,-122.405858609367,"Private room",185,3,21,"2017-02-18",1.51,1,280,85
"109","1023586","Private room Inner Sunset, UCSF","4670031","Kameh",,"Inner Sunset",37.761051555421,-122.46313094878,"Private room",75,1,5,"2017-01-27",0.31,1,53,312
"110","10236578","2br (3 BEDS) - On Park - By Haight","15490780","Rachel",,"Haight Ashbury",37.7735165736216,-122.452442038527,"Entire home/apt",650,1,0,"",0,1,0,365
"111","10245054","Gorgeous, Modern NOPA, 2 bdr, Apt","52603880","Kim",,"Haight Ashbury",37.7757155992867,-122.441225423919,"Entire home/apt",250,2,4,"2016-09-05",0.42,1,59,306
"112","1025032","SOMA Studio","5643815","Morgan",,"South of Market",37.7758693347551,-122.403411618722,"Entire home/apt",100,7,4,"2017-02-25",0.41,1,48,317
"113","10250606","Private Room in Nob Hill Apartment","19197313","Christine",,"Chinatown",37.7903728695712,-122.408195626052,"Private room",90,2,5,"2017-02-27",0.53,1,14,351
"114","102507","Private, Authentic Mission Studio","401524","John",,"Mission",37.7503093189641,-122.419022717077,"Entire home/apt",125,3,102,"2015-05-26",1.47,1,0,365
"115","10251","☼ Victorian Suite in Inner Mission","35199","Roman & Sarah",,"Mission",37.7587429492967,-122.413272016437,"Entire home/apt",240,3,245,"2017-01-27",2.69,1,352,13
"116","10255048","French Coutryside during Super Bowl","52721270","Robert",,"Outer Richmond",37.7829986361875,-122.482761245648,"Entire home/apt",975,3,0,"",0,1,0,365
"117","10257542","Modern Spacious Home Panoramic View","45029455","Deyi",,"Western Addition",37.7815932574957,-122.442746280118,"Entire home/apt",490,5,22,"2017-02-06",1.61,1,137,228
"118","1026195","CHEAP Comfy PERSONABLE Couch w ROOF DECK","4924711","Daniel Rusteen",,"North Beach",37.8002344131326,-122.409495204914,"Shared room",75,1,87,"2016-06-24",2.02,2,0,365
"119","10266040","New Apartment the heart of SoMa","52784271","Richard",,"South of Market",37.7776657964842,-122.411757475315,"Entire home/apt",150,4,1,"2016-06-19",0.12,1,96,269
"120","10268558","Jackson Court in Pacific Heights","52696865","Shelley",,"Pacific Heights",37.7936401661998,-122.430586204668,"Private room",400,1,0,"",0,1,0,365
"121","10269671","Comfy 1 bedroom in 2 bedroom apt!!!","52805266","Shitanshu",,"Lakeshore",37.7176479469529,-122.482881662823,"Private room",70,1,0,"",0,2,0,365
"122","10269737","3 Bedroom 3 Bath, Greenwich Villa","95277","Kenny",,"Russian Hill",37.8010072885676,-122.414303931227,"Entire home/apt",600,2,3,"2016-11-04",0.53,1,240,125
"123","10270735","Private Bed & Bath w/ Beautiful Sunny deck","9249042","Eric",,"Bernal Heights",37.7397623088226,-122.413212629708,"Private room",200,1,7,"2017-02-20",1.01,1,364,1
"124","10272797","Comfy 1 bedroom in 2 bedroom apt!!!","52805266","Shitanshu",,"Lakeshore",37.7171007675033,-122.480832406343,"Private room",45,1,0,"",0,2,0,365
"125","10273208","Mercurio's Marina Style SF Home","30810924","Laurie",,"Russian Hill",37.8058100132904,-122.421005780105,"Entire home/apt",500,5,1,"2016-07-17",0.13,1,359,6
"126","10273567","Sunny room near Golden Gate Park SF","52830865","Catherine",,"Inner Richmond",37.7758735237727,-122.46651450729,"Private room",120,3,49,"2017-02-17",3.64,1,335,30
"127","10280573","Mission Private 1-Bdrm/Bath Suite, Private Entry","50292803","Bradley",,"Mission",37.7511137764491,-122.413356389715,"Private room",125,3,37,"2017-02-20",2.85,1,58,307
"128","10281987","Guesthouse Private room with Bathro","31607663","Ximena",,"West of Twin Peaks",37.724456084026,-122.457136510872,"Private room",99,2,3,"2016-10-29",0.32,4,365,0
"129","10282326","Ste 1502-1 Queen Bedrm & Living Rm","51659350","Wes",,"Downtown/Civic Center",37.7888888349443,-122.409000620027,"Private room",279,2,0,"",0,4,184,181
"130","10282371","Ste 1408-1 Queen Bedrm & Living Rm","51659350","Wes",,"Downtown/Civic Center",37.7893802079494,-122.408153310213,"Private room",279,5,1,"2016-07-01",0.12,4,191,174
"131","10282410","Spacious 2 Story 2 Bed 2.5 Bath","52884907","Taylor",,"South of Market",37.7841769418404,-122.396608384048,"Entire home/apt",1299,2,0,"",0,1,0,365
"132","10283560","Potrero Hill Edwardian on CuldeSac","5338886","Alexander",,"Potrero Hill",37.7593065736612,-122.401622152687,"Entire home/apt",450,1,0,"",0,1,0,365
"133","10293975","Perfect Noe Valley Guest Room","1420659","Melanie",,"Bernal Heights",37.7433226432639,-122.423305261335,"Private room",150,1,24,"2017-01-03",1.72,1,141,224
"134","1029621","Beautiful 2 Bedroom Edwardian Homec","5161705","Jason And Jerrett",,"Western Addition",37.7694319150126,-122.433773808725,"Entire home/apt",365,2,17,"2017-01-12",0.37,2,74,291
"135","10296962","Luxurious 4-bedroom house","52976303","Nicky",,"Inner Sunset",37.7613259377968,-122.45449588493,"Entire home/apt",3500,4,0,"",0,1,0,365
"136","10297903","1BD in the Heart of San Francisco","234859","Michelle",,"Mission",37.7701262950026,-122.421606701978,"Entire home/apt",175,14,13,"2017-02-19",1,2,0,365
